This file count the total commits in the Repository on window time.
Brasilino
2019-01-01,2019-06-30
eltonfernando,1
Otacilio Saraiva Maia Neto,1
Thiago Augusto,1
Total commits,3

2019-07-01,2019-12-31
Erick Simões,2
Jr Miranda,2
Rafael Silva,1
Vinícios SIlva,7
Total commits,12

2020-01-01,2020-06-30
Ladson,1
Vinícios SIlva,4
Total commits,5

2020-07-01,2020-12-31
Otacilio Saraiva Maia Neto,1
Total commits,1

2021-01-01,2021-06-30
Erick Simões,2
RodrigoDornelles,1
Steffano Pereira,9
SteffanoP,16
Total commits,28

"
"
"
"
dialetus-service
2019-01-01,2019-06-30
Adriano Canofre,2
Gabriel Kalani,1
Jefferson Moura,1
Luiz Ferreira,1
luno,1
Marcela Barella,1
Marcus Silva,12
Mateus Malaquias,2
Matheus Monte,1
Maurício Coelho,1
mvfsilva,26
Raphael Amorim,1
Ruan Kaylo,1
Thiago Guimarães,1
Welkson Ramos,1
Wellington Mitrut,1
Total commits,54

2019-07-01,2019-12-31
Allan Kardec,1
b00tk1ll,1
dimilsu,1
djyllier,1
Eduarda dos Santos,2
Emanuel Gonçalves,1
Fabiana Ferlin,1
Francisco Lucas,1
Gildson,1
Henrique Nascimento,1
José Campillo,1
Júlio Dias,1
Kamila de fatima santos oliveira,1
Lucas Bergmann,1
Luiz dos Reis,1
Marcela Barella,1
Marcelo Matos,1
Marcus Silva,11
Marcus Vieira,1
Murilo Arruda,1
Pedro,1
Rafael Melo,1
Renan Gustavo,1
Ruan Gomes,1
Total commits,35

2020-01-01,2020-06-30
Marcus Silva,3
Mateus Malaquias,1
Total commits,4

2020-07-01,2020-12-31
Kauan Mocelin,1
Ramon Domingos,1
Ricardo Bortolucci Patriani de Carvalho,1
Total commits,3

2021-01-01,2021-06-30
Marcus Silva,2
Mateus Malaquias,1
Total commits,3

"
"
"
"
nullstack
2019-01-01,2019-06-30
Christian Mortaro,22
Total commits,22

2019-07-01,2019-12-31
Christian Mortaro,10
Total commits,10

2020-01-01,2020-06-30
Christian,36
Christian Mortaro,2
Dayson Marx,1
Total commits,39

2020-07-01,2020-12-31
Christian,139
Christian Mortaro,9
Total commits,148

2021-01-01,2021-06-30
André Neidert,4
Christian,72
Christian Mortaro,33
Dayson,2
Dayson Marx,1
GuiDevloper,16
Mortaro,16
Total commits,144

"
"
"
"
Potigol
2019-01-01,2019-06-30
Leonardo Lucena,3
Total commits,3

2019-07-01,2019-12-31
Total commits,0

2020-01-01,2020-06-30
Cristian Souza,1
Leonardo Lucena,4
Total commits,5

2020-07-01,2020-12-31
Total commits,0

2021-01-01,2021-06-30
Leonardo Lucena,2
Total commits,2

"
"
"
"
RastreioBot
2019-01-01,2019-06-30
Gabriel R F,2
Gabriel RF,4
GabrielRF,10
Marco Rougeth,1
Total commits,17

2019-07-01,2019-12-31
Ademar Peixoto,2
Ana Schwendler,6
Charliiee,9
Elias Soares,2
Gabriel R F,13
Gabriel RF,48
Juvenv,1
Marco Rougeth,27
Rafael Gottsfritz,3
Richard Nixon,15
Sirpresident,18
Ítalo Epifânio,3
Total commits,147

2020-01-01,2020-06-30
Gabriel R F,5
Gabriel RF,4
GabrielRF,4
Marco Rougeth,5
Total commits,18

2020-07-01,2020-12-31
Ademar Peixoto,3
Anderson Berg,9
Gabriel R F,7
GabrielRF,27
Marco Rougeth,16
Total commits,62

2021-01-01,2021-06-30
Gabriel R F,2
GabrielRF,15
Marco Rougeth,4
Total commits,21

"
"
"
"
tainacan
2019-01-01,2019-06-30
Anna e só,23
Eduardo Humberto,94
fabs balvedi,16
Leo Germani,36
leogermani,129
Mateus Machado Luna,339
vnmedeiros,94
weryques,7
Total commits,738

2019-07-01,2019-12-31
Leo Germani,112
leogermani,129
Mateus Machado Luna,500
Vinícius Nunes,55
vnmedeiros,91
Total commits,887

2020-01-01,2020-06-30
leogermani,9
Mateus Machado Luna,185
mateuswetah,340
Rafael Chaves Freitas,4
Vinícius Nunes,1
vnmedeiros,181
Total commits,720

2020-07-01,2020-12-31
Aron Ambrosiani,5
leogermani,2
Mateus Machado Luna,8
mateuswetah,294
Rodrigo,1
Rodrigo Guimarães,39
Vinícius Nunes Medeiros,7
vnmedeiros,158
Total commits,514

2021-01-01,2021-06-30
Mateus Machado Luna,9
mateuswetah,228
Rodrigo,3
Rodrigo de Oliveira,48
Rodrigo Guimarães,8
Vinícius Nunes Medeiros,23
vnmedeiros,160
Total commits,479

"
"
"
"
